Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_2106,50.0,4.87,19.96,74.83,
vae_wgan_sample_2107,50.0,5.49,19.92,75.41,
vae_wgan_sample_2108,50.0,5.42,19.92,75.34,
vae_wgan_sample_2109,50.0,6.25,20,76.25,
vae_wgan_sample_210,50.0,19.52,19.92,89.44,
vae_wgan_sample_2110,50.0,19.54,19.96,89.5,
vae_wgan_sample_2111,50.0,20.65,19.92,90.57,
vae_wgan_sample_2112,50.0,5.77,19.96,75.73,
vae_wgan_sample_2113,50.0,3.47,19.92,73.39,
vae_wgan_sample_2114,50.0,19.77,19.96,89.73,
vae_wgan_sample_2115,50.0,20.09,19.96,90.05,
vae_wgan_sample_2116,50.0,5.35,20,75.35,
vae_wgan_sample_2117,50.0,6.07,19.92,75.99,
vae_wgan_sample_2118,50.0,4.83,19.52,74.35,
vae_wgan_sample_2119,50.0,4.72,19.92,74.64,
vae_wgan_sample_211,50.0,6.07,19.96,76.03,
vae_wgan_sample_2120,50.0,5.51,19.52,75.03,
vae_wgan_sample_2121,50.0,19.84,19.96,89.8,
vae_wgan_sample_2122,50.0,6.13,19.88,76.01,
vae_wgan_sample_2123,50.0,19.27,19.96,89.23,
vae_wgan_sample_2124,50.0,18.96,19.92,88.88,
vae_wgan_sample_2125,50.0,5.06,19.96,75.02,
vae_wgan_sample_2126,50.0,20.31,19.96,90.27,
vae_wgan_sample_2127,50.0,6.12,20,76.12,
vae_wgan_sample_2128,50.0,5.65,19.92,75.57,
vae_wgan_sample_2129,50.0,20.61,19.92,90.53,
vae_wgan_sample_212,50.0,20.45,19.64,90.09,
vae_wgan_sample_2130,50.0,4.77,19.92,74.69,
vae_wgan_sample_2131,50.0,4.55,20,74.55,
vae_wgan_sample_2132,50.0,19.92,19.92,89.84,
vae_wgan_sample_2133,50.0,5.61,19.96,75.57,
vae_wgan_sample_2134,50.0,19.6,19.92,89.52,
vae_wgan_sample_2135,50.0,5.46,19.4,74.86,
vae_wgan_sample_2136,50.0,5.67,19.92,75.59,
vae_wgan_sample_2137,50.0,6.32,19.96,76.28,
vae_wgan_sample_2138,50.0,5.8,19.76,75.56,
vae_wgan_sample_2139,50.0,21.34,19.96,91.3,
vae_wgan_sample_213,50.0,19.98,19.96,89.94,
vae_wgan_sample_2140,50.0,4.97,19.96,74.93,
vae_wgan_sample_2141,50.0,20.24,19.92,90.16,
vae_wgan_sample_2142,50.0,20.11,19.84,89.95,
vae_wgan_sample_2143,50.0,21.09,19.96,91.05,
vae_wgan_sample_2144,50.0,19.24,19.92,89.16,
vae_wgan_sample_2145,50.0,20.18,19.96,90.14,
vae_wgan_sample_2146,50.0,4.13,19.96,74.09,
vae_wgan_sample_2147,50.0,19.17,19.92,89.09,
vae_wgan_sample_2148,50.0,7.11,19.96,77.07,
vae_wgan_sample_2149,50.0,20.39,19.92,90.31,
vae_wgan_sample_214,50.0,4.5,19.92,74.42,
vae_wgan_sample_2150,50.0,5.18,19.96,75.14,
vae_wgan_sample_2151,50.0,20.01,19.44,89.45,
vae_wgan_sample_2152,50.0,2.82,18.84,71.66,
vae_wgan_sample_2153,50.0,1.45,19.88,71.33,
vae_wgan_sample_2154,50.0,4.84,19.96,74.8,
vae_wgan_sample_2155,50.0,5.76,19.12,74.88,
vae_wgan_sample_2156,50.0,3.24,19.96,73.2,
vae_wgan_sample_2157,34.8,6.34,19.96,61.1,
vae_wgan_sample_2158,50.0,20.11,19.96,90.07,
vae_wgan_sample_2159,0.0,0.0,0,0.0,
vae_wgan_sample_215,50.0,20.16,19.96,90.12,
vae_wgan_sample_2160,50.0,4.76,19.96,74.72,
vae_wgan_sample_2161,50.0,5.92,19.84,75.76,
vae_wgan_sample_2162,50.0,5.25,19.64,74.89,
vae_wgan_sample_2163,50.0,6.42,19.96,76.38,
vae_wgan_sample_2164,50.0,4.22,19.16,73.38,
vae_wgan_sample_2165,50.0,19.95,19.96,89.91,
vae_wgan_sample_2166,50.0,7.0,19.96,76.96,
vae_wgan_sample_2167,50.0,6.36,19.24,75.6,
vae_wgan_sample_2168,50.0,20.74,19.96,90.7,
vae_wgan_sample_2169,50.0,5.33,19.96,75.29,
vae_wgan_sample_216,50.0,19.92,19.96,89.88,
vae_wgan_sample_2170,50.0,4.62,19.44,74.06,
vae_wgan_sample_2171,50.0,3.9,19.96,73.86,
vae_wgan_sample_2172,50.0,5.46,19.96,75.42,
vae_wgan_sample_2173,50.0,5.35,19.96,75.31,
vae_wgan_sample_2174,50.0,21.1,19.92,91.02,
vae_wgan_sample_2175,50.0,6.27,18.88,75.15,
vae_wgan_sample_2176,50.0,6.53,19.96,76.49,
vae_wgan_sample_2177,50.0,5.87,19.96,75.83,
vae_wgan_sample_2178,50.0,4.86,19.84,74.7,
vae_wgan_sample_2179,50.0,6.4,19.92,76.32,
vae_wgan_sample_217,50.0,4.06,19.92,73.98,
vae_wgan_sample_2180,50.0,4.59,19.16,73.75,
vae_wgan_sample_2181,50.0,5.03,19.96,74.99,
vae_wgan_sample_2182,50.0,19.91,19.92,89.83,
vae_wgan_sample_2183,50.0,4.99,19.96,74.95,
vae_wgan_sample_2184,50.0,21.05,19.96,91.01,
vae_wgan_sample_2185,50.0,5.89,19.52,75.41,
vae_wgan_sample_2186,50.0,5.94,19.88,75.82,
vae_wgan_sample_2187,50.0,19.79,19.92,89.71,
vae_wgan_sample_2188,50.0,20.68,20,90.68,
vae_wgan_sample_2189,50.0,2.83,19.92,72.75,
vae_wgan_sample_218,50.0,3.48,19.6,73.08,
vae_wgan_sample_2190,50.0,19.33,19.84,89.17,
vae_wgan_sample_2191,50.0,5.66,19.92,75.58,
vae_wgan_sample_2192,50.0,5.36,19.92,75.28,
vae_wgan_sample_2193,50.0,4.86,19.92,74.78,
vae_wgan_sample_2194,50.0,19.82,19.96,89.78,
vae_wgan_sample_2195,50.0,5.1,19.64,74.74,
vae_wgan_sample_2196,50.0,2.28,19.48,71.76,
vae_wgan_sample_2197,50.0,5.64,19.92,75.56,
vae_wgan_sample_2198,50.0,20.54,20,90.54,
vae_wgan_sample_2199,50.0,19.56,19.96,89.52,
vae_wgan_sample_219,50.0,19.37,19.96,89.33,
vae_wgan_sample_21,50.0,19.99,19.92,89.91,
vae_wgan_sample_2200,50.0,6.46,19.44,75.9,
vae_wgan_sample_2201,50.0,20.64,19.96,90.6,
vae_wgan_sample_2202,50.0,7.11,20,77.11,
vae_wgan_sample_2203,50.0,5.11,19.52,74.63,
vae_wgan_sample_2204,50.0,5.13,19.4,74.53,
vae_wgan_sample_2205,50.0,4.95,19.96,74.91,
vae_wgan_sample_2206,50.0,20.36,19.96,90.32,
vae_wgan_sample_2207,50.0,20.12,19.96,90.08,
vae_wgan_sample_2208,50.0,18.91,19.68,88.59,
vae_wgan_sample_2209,50.0,3.96,19.92,73.88,
vae_wgan_sample_220,50.0,19.9,19.32,89.22,
vae_wgan_sample_2210,50.0,4.98,17.88,72.86,
vae_wgan_sample_2211,50.0,5.38,19.96,75.34,
vae_wgan_sample_2212,50.0,19.89,19.6,89.49,
vae_wgan_sample_2213,50.0,20.65,19.92,90.57,
vae_wgan_sample_2214,50.0,19.95,19.96,89.91,
vae_wgan_sample_2215,50.0,6.52,19.96,76.48,
vae_wgan_sample_2216,50.0,17.88,19.92,87.8,
vae_wgan_sample_2217,50.0,4.96,19.92,74.88,
vae_wgan_sample_2218,50.0,20.58,19.88,90.46,
vae_wgan_sample_2219,50.0,3.81,19.8,73.61,
vae_wgan_sample_221,50.0,5.71,18.6,74.31,
vae_wgan_sample_2220,50.0,19.66,19.96,89.62,
vae_wgan_sample_2221,50.0,20.03,19.96,89.99,
vae_wgan_sample_2222,50.0,20.22,19.64,89.86,
vae_wgan_sample_2223,50.0,5.58,19.96,75.54,
vae_wgan_sample_2224,50.0,6.39,20,76.39,
vae_wgan_sample_2225,50.0,18.1,19.92,88.02,
vae_wgan_sample_2226,50.0,18.61,19.88,88.49,
vae_wgan_sample_2227,50.0,3.75,19.96,73.71,
vae_wgan_sample_2228,50.0,6.2,19.92,76.12,
vae_wgan_sample_2229,50.0,19.88,19.92,89.8,
vae_wgan_sample_222,50.0,6.08,19.96,76.04,
vae_wgan_sample_2230,50.0,5.89,19.8,75.69,
vae_wgan_sample_2231,50.0,4.75,19.96,74.71,
vae_wgan_sample_2232,50.0,20.16,19.96,90.12,
vae_wgan_sample_2233,50.0,18.63,20,88.63,
vae_wgan_sample_2234,50.0,5.05,19.96,75.01,
vae_wgan_sample_2235,50.0,4.63,19.92,74.55,
vae_wgan_sample_2236,50.0,4.69,19.92,74.61,
vae_wgan_sample_2237,50.0,5.99,19.92,75.91,
vae_wgan_sample_2238,50.0,4.54,20,74.54,
vae_wgan_sample_2239,50.0,4.85,19.96,74.81,
vae_wgan_sample_223,50.0,19.43,19.96,89.39,
vae_wgan_sample_2240,50.0,5.45,19.96,75.41,
vae_wgan_sample_2241,50.0,4.12,19.8,73.92,
vae_wgan_sample_2242,50.0,20.03,19.96,89.99,
vae_wgan_sample_2243,50.0,20.61,19.96,90.57,
vae_wgan_sample_2244,50.0,19.97,19.96,89.93,
vae_wgan_sample_2245,50.0,5.98,19.76,75.74,
vae_wgan_sample_2246,50.0,6.39,19.96,76.35,
vae_wgan_sample_2247,50.0,20.71,20,90.71,
vae_wgan_sample_2248,50.0,5.2,19.32,74.52,
vae_wgan_sample_2249,50.0,20.58,19.96,90.54,
vae_wgan_sample_224,50.0,18.45,19.92,88.37,
vae_wgan_sample_2250,50.0,4.76,19.56,74.32,
